"pcc_rsrp","rsrq","sinr","velocity_h","upload_size","txpower"
-92.0,-7.4,15.0,0.0,1.0,14.0
-83.0,-6.5,13.4,11.4,1.0,2.0
-76.0,-7.2,25.4,0.0,1.0,-8.0
-76.0,-7.2,25.4,0.0,1.0,-8.0
-77.0,-6.3,26.6,0.0,1.0,6.0
-77.0,-6.7,23.2,0.0,1.0,9.0
-76.0,-6.7,22.2,0.0,1.0,-5.0
-76.0,-6.7,21.8,0.0,1.0,-10.0
-76.0,-6.3,15.4,0.0,1.0,-8.0
-76.0,-6.7,23.4,0.0,1.0,4.0
-76.0,-6.3,23.8,0.0,1.0,-5.0
-77.0,-7.0,24.6,0.0,1.0,-12.0
-76.0,-6.4,24.0,0.0,1.0,-11.0
-76.0,-7.3,22.2,0.0,1.0,7.0
-76.0,-6.3,24.8,0.0,1.0,-9.0
-76.0,-6.7,23.6,0.0,1.0,8.0
-76.0,-6.4,24.2,0.0,1.0,7.0
-76.0,-6.3,25.4,0.0,1.0,-4.0
-76.0,-7.2,22.6,0.0,1.0,-6.0
-76.0,-6.4,22.6,0.0,1.0,-7.0
-76.0,-6.4,22.6,0.0,1.0,-7.0
-77.0,-6.3,27.4,0.0,1.0,5.0
-76.0,-6.3,26.8,0.0,1.0,-5.0
-76.0,-6.2,25.2,0.0,1.0,-8.0
-76.0,-6.2,25.2,0.0,1.0,-8.0
-76.0,-7.8,24.4,0.0,1.0,9.0
-76.0,-7.2,26.2,0.0,1.0,7.0
-76.0,-7.0,22.6,0.0,1.0,-8.0
-76.0,-7.0,22.6,0.0,1.0,-8.0
-76.0,-6.3,26.2,0.0,1.0,-9.0
-76.0,-6.6,26.2,0.0,1.0,5.0
-76.0,-6.3,25.2,0.0,1.0,8.0
-77.0,-6.4,23.8,0.0,1.0,1.0
-76.0,-6.9,25.2,0.0,1.0,-5.0
-76.0,-6.8,22.2,0.0,1.0,8.0
-76.0,-6.3,24.0,0.0,1.0,-10.0
-76.0,-6.3,24.0,0.0,1.0,-10.0
-76.0,-6.5,23.0,0.0,1.0,-15.0
-76.0,-6.5,23.0,0.0,1.0,-15.0
-76.0,-6.6,24.0,0.0,1.0,8.0
-76.0,-7.1,22.8,0.0,1.0,9.0
-76.0,-6.5,22.6,0.0,1.0,7.0
-76.0,-6.3,22.8,0.0,1.0,-4.0
-76.0,-6.5,24.4,0.0,1.0,7.0
-76.0,-7.0,25.2,0.0,1.0,-4.0
-76.0,-7.0,25.2,0.0,1.0,-4.0
-76.0,-6.4,24.6,0.0,1.0,10.0
-76.0,-6.4,24.6,0.0,1.0,10.0
-76.0,-6.4,23.2,0.0,1.0,8.0
-76.0,-6.4,23.2,0.0,1.0,8.0
-76.0,-7.1,26.0,0.0,1.0,-5.0
-76.0,-7.1,26.0,0.0,1.0,-5.0
-76.0,-6.7,26.0,0.0,1.0,7.0
-76.0,-7.7,21.8,0.0,1.0,-5.0
-76.0,-6.6,24.6,0.0,1.0,-10.0
-76.0,-7.5,22.6,0.0,1.0,-1.0
-76.0,-6.9,26.0,0.0,1.0,8.0
-76.0,-6.3,24.0,0.0,1.0,-4.0
-76.0,-6.5,21.8,0.0,1.0,-6.0
-76.0,-6.7,24.0,0.0,1.0,8.0
-76.0,-7.2,24.4,0.0,1.0,-4.0
-76.0,-6.4,16.6,0.0,1.0,-5.0
-76.0,-7.1,23.0,0.0,1.0,7.0
-76.0,-6.2,26.8,0.0,1.0,4.0
-76.0,-7.5,24.6,0.0,1.0,-5.0
-76.0,-6.3,24.2,0.0,1.0,-5.0
-76.0,-8.2,15.6,0.0,1.0,3.0
-76.0,-6.3,23.6,0.0,1.0,-3.0
-76.0,-6.4,24.0,0.0,1.0,-4.0
-76.0,-6.3,25.0,0.0,1.0,8.0
-76.0,-6.9,23.0,0.0,1.0,8.0
-76.0,-6.7,22.6,0.0,1.0,7.0
-76.0,-6.2,24.4,0.0,1.0,9.0
-76.0,-7.2,23.6,0.0,1.0,-3.0
-76.0,-6.6,23.0,0.0,1.0,-8.0
-76.0,-6.6,25.2,0.0,1.0,-10.0
-76.0,-6.3,23.8,0.0,1.0,3.0
-76.0,-6.9,16.2,0.0,1.0,8.0
-76.0,-7.0,17.4,0.0,1.0,-9.0
-76.0,-7.0,22.0,0.0,1.0,5.0
-76.0,-6.4,23.8,0.0,1.0,8.0
-76.0,-6.2,25.2,0.0,1.0,-2.0
-76.0,-6.3,16.4,0.0,1.0,-9.0
-76.0,-6.4,24.8,0.0,1.0,-11.0
-76.0,-6.3,22.8,0.0,1.0,-9.0
-75.0,-6.2,26.4,0.0,1.0,-9.0
-75.0,-6.2,26.4,0.0,1.0,-9.0
-76.0,-6.3,24.4,0.0,1.0,-2.0
-75.0,-6.3,24.6,0.0,1.0,-13.0
-75.0,-6.3,24.6,0.0,1.0,-13.0
-75.0,-6.5,26.4,0.0,1.0,8.0
-75.0,-6.3,16.4,0.0,1.0,7.0
-75.0,-6.3,23.6,0.0,1.0,-7.0
-75.0,-6.3,23.6,0.0,1.0,-7.0
-76.0,-6.3,26.2,0.0,1.0,-8.0
-76.0,-6.3,26.2,0.0,1.0,-8.0
-75.0,-6.3,26.4,0.0,1.0,8.0
-75.0,-6.3,26.4,0.0,1.0,8.0
-75.0,-6.5,24.0,0.0,1.0,-5.0
-75.0,-6.5,24.0,0.0,1.0,-5.0
-75.0,-7.8,27.0,0.0,1.0,-9.0
-76.0,-6.5,26.0,0.0,1.0,-3.0
-75.0,-6.2,24.8,0.0,1.0,-8.0
-75.0,-6.6,25.8,0.0,1.0,9.0
-75.0,-6.9,26.6,0.0,1.0,-15.0
-75.0,-6.9,24.4,0.0,1.0,6.0
-75.0,-6.9,24.4,0.0,1.0,6.0
-75.0,-6.5,26.0,0.0,1.0,7.0
-75.0,-6.8,24.0,0.0,1.0,-2.0
-75.0,-7.0,24.2,0.0,1.0,-6.0
-75.0,-6.7,21.2,0.0,1.0,-4.0
-75.0,-6.6,27.4,0.0,1.0,6.0
-76.0,-6.8,21.0,0.0,1.0,-8.0
-75.0,-6.3,25.0,0.0,1.0,6.0
-75.0,-6.3,25.0,0.0,1.0,6.0
-75.0,-6.7,21.0,0.0,1.0,-3.0
-75.0,-6.3,22.2,0.0,1.0,-8.0
-76.0,-6.3,22.4,0.0,1.0,-3.0
-75.0,-6.5,25.8,0.0,1.0,-8.0
-76.0,-6.4,16.2,0.0,1.0,-2.0
-76.0,-6.3,25.4,0.0,1.0,-10.0
-76.0,-6.4,23.6,0.0,1.0,3.0
-76.0,-6.4,23.6,0.0,1.0,3.0
-75.0,-6.3,22.4,0.0,1.0,7.0
-75.0,-6.3,22.4,0.0,1.0,7.0
-76.0,-6.8,22.4,0.0,1.0,-10.0
-76.0,-6.8,22.4,0.0,1.0,-10.0
-75.0,-6.5,26.0,0.0,1.0,3.0
-75.0,-6.5,26.0,0.0,1.0,3.0
-76.0,-6.3,24.6,0.0,1.0,-6.0
-76.0,-6.5,18.2,0.0,1.0,-7.0
